              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     -78.374       0.155     -78.004      19.486
     -69.274      -0.098     -77.917      19.485
     -60.164      -0.334     -77.830      19.484
     -51.054      -0.588     -77.744      19.483
     -41.954      -0.838     -77.657      19.481
     -32.843      -1.082     -77.570      19.480
     -23.733      -1.333     -77.483      19.478
     -14.632      -1.589     -77.397      19.477
      -5.521      -1.842     -77.310      19.475
       3.580      -2.089     -77.223      19.473
      12.691      -2.354     -77.136      19.472
      21.792      -2.602     -77.050      19.470
      30.904      -2.857     -76.963      19.468
      40.006      -3.119     -76.876      19.466
      49.107      -3.375     -76.789      19.464
      58.220      -3.638     -76.703      19.462
      67.322      -3.896     -76.616      19.460
      76.425      -4.160     -76.529      19.458
      85.538      -4.419     -76.442      19.456
      94.641      -4.685     -76.356      19.454
     103.744      -4.946     -76.269      19.452
     112.858      -5.213     -76.182      19.449
     121.962      -5.486     -76.096      19.447
     131.065      -5.755     -76.009      19.445
     140.169      -6.019     -75.922      19.442
     149.274      -6.289     -75.836      19.440
     158.379      -6.565     -75.749      19.437
     167.484      -6.836     -75.662      19.434
     176.590      -7.103     -75.575      19.432
     185.696      -7.376     -75.489      19.429
     194.802      -7.655     -75.402      19.426
     203.908      -7.930     -75.315      19.424
     213.005      -8.210     -75.229      19.421
     222.112      -8.486     -75.142      19.418
     231.220      -8.768     -75.055      19.415
     240.327      -9.046     -74.969      19.412
     249.424      -9.329     -74.882      19.409
     258.533      -9.608     -74.795      19.406
     267.642      -9.893     -74.709      19.402
     276.741     -10.174     -74.622      19.399
     285.840     -10.460     -74.535      19.396
     294.951     -10.742     -74.449      19.393
     304.051     -11.030     -74.362      19.389
     313.162     -11.324     -74.275      19.386
     322.263     -11.614     -74.189      19.382
     331.363     -11.899     -74.102      19.379
     340.465     -12.190     -74.016      19.375
     349.578     -12.487     -73.929      19.371
     -78.127       9.207     -78.003      19.568
     -69.022       8.966     -77.916      19.567
     -59.917       8.718     -77.829      19.566
     -50.811       8.464     -77.742      19.564
     -41.706       8.215     -77.656      19.563
     -32.590       7.971     -77.569      19.562
     -23.483       7.720     -77.482      19.560
     -14.377       7.463     -77.395      19.558
      -5.271       7.212     -77.308      19.557
       3.836       6.964     -77.221      19.555
      12.942       6.700     -77.135      19.553
      22.049       6.451     -77.048      19.552
      31.156       6.196     -76.961      19.550
      40.264       5.935     -76.874      19.548
      49.371       5.679     -76.787      19.546
      58.479       5.416     -76.701      19.544
      67.587       5.158     -76.614      19.542
      76.695       4.894     -76.527      19.540
      85.803       4.635     -76.440      19.538
      94.912       4.369     -76.353      19.536
     104.010       4.098     -76.267      19.533
     113.119       3.831     -76.180      19.531
     122.229       3.568     -76.093      19.529
     131.339       3.300     -76.006      19.526
     140.438       3.036     -75.920      19.524
     149.548       2.767     -75.833      19.521
     158.649       2.490     -75.746      19.519
     167.760       2.219     -75.659      19.516
     176.860       1.941     -75.573      19.514
     185.972       1.669     -75.486      19.511
     195.073       1.401     -75.399      19.508
     204.185       1.115     -75.312      19.505
     213.287       0.846     -75.226      19.503
     222.390       0.559     -75.139      19.500
     231.503       0.288     -75.052      19.497
     240.606       0.011     -74.965      19.494
     249.710      -0.272     -74.879      19.490
     258.814      -0.562     -74.792      19.487
     267.928      -0.836     -74.705      19.484
     277.033      -1.127     -74.618      19.481
     286.138      -1.413     -74.532      19.478
     295.243      -1.695     -74.445      19.474
     304.349      -1.983     -74.358      19.471
     313.445      -2.277     -74.272      19.467
     322.552      -2.566     -74.185      19.464
     331.659      -2.851     -74.098      19.460
     340.765      -3.142     -74.012      19.457
     349.873      -3.439     -73.925      19.453
     -77.881      18.260     -78.001      19.650
     -68.780      18.018     -77.915      19.649
     -59.669      17.771     -77.828      19.647
     -50.558      17.517     -77.741      19.646
     -41.447      17.268     -77.654      19.645
     -32.346      17.024     -77.567      19.643
     -23.234      16.773     -77.480      19.642
     -14.122      16.516     -77.393      19.640
      -5.021      16.264     -77.307      19.639
       4.092      16.017     -77.220      19.637
      13.204      15.753     -77.133      19.635
      22.306      15.504     -77.046      19.633
      31.419      15.250     -76.959      19.632
      40.521      14.989     -76.872      19.630
      49.634      14.732     -76.785      19.628
      58.737      14.470     -76.699      19.626
      67.851      14.212     -76.612      19.624
      76.954      13.948     -76.525      19.622
      86.069      13.678     -76.438      19.620
      95.173      13.424     -76.351      19.618
     104.277      13.152     -76.264      19.615
     113.392      12.885     -76.177      19.613
     122.497      12.623     -76.091      19.611
     131.601      12.355     -76.004      19.608
     140.707      12.080     -75.917      19.606
     149.823      11.811     -75.830      19.603
     158.928      11.546     -75.743      19.601
     168.034      11.275     -75.657      19.598
     177.141      10.997     -75.570      19.595
     186.248      10.724     -75.483      19.593
     195.355      10.445     -75.396      19.590
     204.462      10.171     -75.309      19.587
     213.570       9.891     -75.223      19.584
     222.679       9.616     -75.136      19.581
     231.787       9.334     -75.049      19.578
     240.885       9.057     -74.962      19.575
     249.995       8.774     -74.875      19.572
     259.104       8.495     -74.789      19.569
     268.214       8.211     -74.702      19.566
     277.314       7.930     -74.615      19.563
     286.424       7.644     -74.528      19.559
     295.525       7.352     -74.442      19.556
     304.637       7.064     -74.355      19.553
     313.738       6.781     -74.268      19.549
     322.850       6.492     -74.181      19.546
     331.953       6.197     -74.095      19.542
     341.055       5.906     -74.008      19.538
     350.169       5.621     -73.921      19.535
     -77.644      27.312     -78.000      19.732
     -68.528      27.071     -77.913      19.731
     -59.422      26.823     -77.826      19.729
     -50.316      26.581     -77.739      19.728
     -41.198      26.331     -77.652      19.727
     -32.091      26.076     -77.565      19.725
     -22.985      25.826     -77.479      19.724
     -13.867      25.569     -77.392      19.722
      -4.760      25.317     -77.305      19.720
       4.348      25.070     -77.218      19.719
      13.455      24.817     -77.131      19.717
      22.563      24.558     -77.044      19.715
      31.671      24.303     -76.957      19.713
      40.789      24.042     -76.870      19.712
      49.898      23.786     -76.783      19.710
      59.007      23.523     -76.696      19.708
      68.116      23.266     -76.609      19.706
      77.225      23.002     -76.522      19.704
      86.334      22.743     -76.436      19.701
      95.443      22.478     -76.349      19.699
     104.543      22.206     -76.262      19.697
     113.653      21.940     -76.175      19.695
     122.764      21.678     -76.088      19.692
     131.874      21.410     -76.001      19.690
     140.985      21.135     -75.914      19.688
     150.086      20.865     -75.827      19.685
     159.197      20.601     -75.741      19.683
     168.309      20.330     -75.654      19.680
     177.421      20.053     -75.567      19.677
     186.523      19.780     -75.480      19.674
     195.637      19.501     -75.393      19.672
     204.739      19.227     -75.306      19.669
     213.853      18.947     -75.219      19.666
     222.956      18.672     -75.133      19.663
     232.070      18.390     -75.046      19.660
     241.174      18.114     -74.959      19.657
