SURF.DAT        2.1             Hour Start and End Times with Seconds                           
   1
Produced by SMERGE Version: 5.651  Level: 080407                                
NONE    
UTC-0500
  1990   8   0     0  1990  15   0     0    5
   14606
   14611
   14745
   14742
   14764
    2.572  130.000    7   10  274.817   89  992.892    0
    3.601  150.000  999    5  275.928   76  990.183    0
    3.600  180.000    7   10  276.450   79 1005.000    0
1990  10   4    0   1990  10   5    0
    2.058  200.000    7   10  275.928   93  999.327    0
    3.087  190.000   12 9999  276.483   93 1002.374    0
    2.058  120.000    3   10  274.817   89  991.538   13
    5.659  150.000  120   10  276.483   76  989.506    0
    3.100  200.000    7   10  277.050   76 1003.000    0
1990  10   5    0   1990  10   6    0
    2.572  190.000    6   10  275.928   93  998.649    0
    1.543  190.000    9 9999  276.483   89 1001.358    0
    0.000    0.000    3   10  275.372   85  990.522   13
    3.087  100.000  100   10  275.372   79  989.506    0
    2.100  100.000    6   10  276.450   62 1002.000    0
1990  10   6    0   1990  10   7    0
    3.087  200.000    4   10  276.483  100  997.972    0
    2.058  160.000    3 9999  277.039   93 1000.681    0
    0.000    0.000    4   10  274.261   92  989.845   13
    2.572  110.000  100   10  274.817   82  989.167    0
    2.600  120.000    4   10  277.050   93 1002.000   13
1990  10   7    0   1990  10   8    0
    0.000    0.000    3   10  276.483  100  997.295    0
    0.000    0.000    2 9999  277.594  100  999.327    0
    1.543  320.000    2   10  274.261   89  988.829   13
    3.087  100.000  100   10  275.372   79  988.829    0
    3.100  110.000    0   10  277.050   76 1000.000   13
1990  10   8    0   1990  10   9    0
    2.572   40.000    2   10  276.483   93  996.279    0
    1.029   90.000    2 9999  277.594   93  998.311   13
    2.572  310.000    2   10  274.261   89  988.490   13
    3.087  310.000   30   10  275.372   82  989.167    1
    2.600   80.000    0   10  277.550  100  999.000   13
1990  10   9    0   1990  10  10    0
    2.572   40.000    3   10  277.039   93  994.924    0
    1.029   90.000    2 9999  277.594   93  996.956    0
    2.058  340.000    3   10  274.261   89  987.474   13
    3.601  310.000   20   10  274.817   82  989.167   19
    4.600   90.000    0   10  277.550  100  998.000    0
1990  10  10    0   1990  10  11    0
    2.058   40.000    1   10  277.039   93  993.231    0
    1.029  350.000    1 9999  277.594   93  995.940    0
    2.572  340.000    3   10  274.261   89  986.797    4
    3.087  340.000    9   10  274.261   92  988.490   19
    4.100  350.000    0   10  276.450  100  997.000    1
1990  10  11    0   1990  10  12    0
    2.572   10.000    1   10  276.483  100  991.199   13
    2.058  330.000    1 9999  278.150   96  993.570    1
    2.572  360.000    3   10  274.817   89  985.104   13
    4.116  310.000    3   10  274.261   92  987.813   19
    4.100  330.000    2   10  275.950  100  995.000   13
1990  10  12    0   1990  10  13    0
    3.601   20.000    1   10  276.483  100  989.167   13
    3.087  340.000    2 9999  276.483   96  992.554    0
    2.572  280.000    2   10  274.817   92  984.426    1
    4.630  290.000    2   10  273.706   96  987.136   19
    5.700  320.000    3   10  275.350   96  994.000    1
1990  10  13    0   1990  10  14    0
    4.630   10.000    1   10  275.928  100  988.151   13
    3.601  350.000    3 9999  275.372   96  992.215    0
    1.543  310.000    5   10  275.928   73  984.088    0
    4.116  340.000    2   10  273.706   96  987.136    0
    4.100  330.000    3   10  275.350   96  994.000    1
1990  10  14    0   1990  10  15    0
    4.116   30.000    1   10  276.483  100  987.474   13
    4.116  340.000    3 9999  275.372   96  991.538    0
    2.572  310.000   15   10  275.928   73  983.749    0
    5.144  310.000    1   10  273.150   96  987.813    0
    3.600  340.000    4   10  275.950   93  993.000    1
1990  10  15    0   1990  10  16    0
    5.144  100.000    1   10  275.928  100  987.474   13
    3.087  350.000    5 9999  274.817   96  992.215    1
    0.000    0.000  100    8  275.928   82  984.088    0
    4.630  330.000    1   10  273.150  100  988.151    0
    3.600  330.000    8    9  275.950   93  994.000    0
1990  10  16    0   1990  10  17    0
    5.144  100.000    2   10  275.372  100  987.474   13
    2.572  340.000    6 9999  274.817   96  992.554    0
    4.630  300.000  999    3  275.928   96  984.426    0
    5.659  310.000    1   10  273.150   96  988.829    0
    3.600  330.000   49    8  275.950   93  994.000    0
1990  10  17    0   1990  10  18    0
    5.144   10.000    5   10  275.372  100  987.136   13
    3.087  350.000  100 9999  275.372   93  992.554    0
    4.116  290.000  999    2  275.372   89  984.765    0
    7.717  310.000    1   10  272.594   96  989.506   19
    5.200  280.000   55    8  275.350   93  994.000    0
1990  10  18    0   1990  10  19    0
    6.173   10.000    6   10  275.372  100  987.474   13
    2.058  300.000   12 9999  275.372   96  992.892    0
    4.630  320.000  250    5  275.372   93  985.781    0
    6.688  310.000    8   10  272.594   96  990.861   19
    4.100  280.000   20   10  275.950   89  995.000    0
1990  10  19    0   1990  10  20    0
    4.630  330.000    7   10  274.817  100  988.151    0
    4.116  320.000   15 9999  275.372   96  993.570    1
    4.116  310.000  999    5  274.817   92  986.120    0
    5.659  310.000    9   10  272.594   92  992.215   19
    3.100  280.000   28   10  275.950   93  995.000   13
1990  10  20    0   1990  10  21    0
    6.173  360.000   12   10  274.817   92  988.829    0
    3.087  330.000   15 9999  274.817   96  994.586    1
    3.601  320.000  999    5  275.372   89  987.136    0
    6.173  330.000   13   10  271.483   89  993.231   19
    5.200  290.000   60    8  275.350   93  996.000    0
1990  10  21    0   1990  10  22    0
    3.087  350.000   12   10  274.261   92  990.522   13
    3.087  310.000   20 9999  274.817   96  994.924    1
    2.572  300.000   25   10  275.928   86  987.813    0
    4.630  330.000   13   10  271.483   96  993.570   19
    4.100  290.000  140    7  275.350   93  997.000    0
1990  10  22    0   1990  10  23    0
    5.659  320.000    7   10  274.261   92  990.183   19
    1.543  300.000   20 9999  274.817   96  995.263    1
    7.202  310.000   27   10  275.928   82  988.151    0
    3.087  330.000   19   10  271.483   82  993.570   19
    3.600  280.000  140    5  275.350   93  997.000    0
1990  10  23    0   1990  10  24    0
    5.144  320.000    8   10  273.150   92  990.522   19
    3.087  320.000   20 9999  274.817   82  995.602    0
    4.116  310.000  999    3  275.372   79  988.490    0
    2.058   10.000   29   10  271.483   82  992.892    0
    2.600  250.000  999    2  274.250   96  997.000    0
1990  11   0    0   1990  11   1    0
    5.144  330.000   11   10  272.594   89  990.861   19
    0.000    0.000   25 9999  274.817   85  995.602    0
    7.202  300.000  999    3  274.817   82  988.829    0
    2.058  330.000   28   10  271.483   82  993.231    0
    5.200  310.000  999    0  274.850   85  997.000    0
1990  11   1    0   1990  11   2    0
    3.087  330.000   11    9  272.039   85  992.215    0
    1.029  330.000   80 9999  274.261   85  996.956    0
    6.173  300.000   25    7  274.817   76  990.183    0
    2.058   40.000   23   10  271.483   82  993.570    0
    4.600  310.000  999    1  274.250   85  999.000    0
1990  11   2    0   1990  11   3    0
    2.572  310.000  999    3  270.928   89  992.892    0
    2.572  340.000  999 9999  273.706   79  997.972    0
    4.630  310.000   25    7  274.817   73  991.538    0
    2.058   40.000   16   10  271.483   85  993.908   19
    5.200  300.000  999    0  274.250   82 1000.000    0
1990  11   3    0   1990  11   4    0
    2.058  320.000  999    3  269.817   81  993.908    0
    4.116  330.000  999 9999  272.594   82  998.988    0
    6.173  310.000   55    8  274.261   73  991.876    0
    1.543  350.000   15   10  271.483   85  994.247   19
    2.600  290.000  999    0  273.750   85 1001.000    0
1990  11   4    0   1990  11   5    0
    2.572  310.000  999    2  267.594   81  994.924    0
    3.087  340.000  999 9999  272.039   78 1000.004    0
    4.630  310.000   55   10  274.261   73  991.876    0
    1.543   40.000   17   10  271.483   85  994.247    0
    2.100  270.000  999    0  273.150   79 1001.000    0
1990  11   5    0   1990  11   6    0
    2.058  310.000  999    0  266.483   81  996.279    0
    1.029  360.000  999 9999  270.928   82 1000.004    0
    5.144  320.000   42   10  274.261   73  992.554    0
    2.058   90.000   28   10  270.928   92  993.570    0
    2.600  280.000  999    0  272.550   75 1002.000    0
1990  11   6    0   1990  11   7    0
    0.000    0.000  999    0  265.928   81  996.617    0
    0.000    0.000  999 9999  270.372   78 1001.020    0
    3.601  310.000   40   10  274.261   73  992.892    0
    2.572   90.000   28   10  271.483   92  993.231    0
    2.600  270.000  999    1  272.550   82 1002.000    0
1990  11   7    0   1990  11   8    0
    0.000    0.000  999    1  265.372   77  996.956    0
    0.000    0.000  999 9999  270.928   78 1002.374    0
    0.000    0.000   40   10  273.706   79  992.892    0
    3.601  170.000   25   10  271.483   89  992.892    0
    1.500  270.000  999    2  271.450   92 1003.000    0
1990  11   8    0   1990  11   9    0
    3.087  320.000  999    2  266.483   81  998.311    0
    1.029   30.000  999 9999  272.039   75 1002.374    0
    0.000    0.000   40   10  274.261   79  993.231    0
    4.116  160.000  250    5  271.483   85  991.876    0
    1.500  110.000  999    2  273.150   89 1003.000    0
1990  11   9    0   1990  11  10    0
    2.572  350.000  999    2  268.150   68  998.649    0
    3.087   50.000  200 9999  272.594   75 1002.036    0
    2.572  150.000   45   10  274.817   76  992.554    0
    3.601  120.000  200    9  273.150   82  990.861    0
    2.600  120.000  169    7  274.250   79 1003.000    0
1990  11  10    0   1990  11  11    0
    2.058   20.000  999    2  269.817   72  996.956    0
    1.029  100.000  200 9999  272.594   75 1002.036    0
    2.058  180.000  200   10  275.928   67  991.538    0
    8.231  150.000  100   10  274.261   79  989.167    0
    2.100  180.000  250    9  274.850   79 1002.000    0
1990  11  11    0   1990  11  12    0
    2.572  330.000  999    3  270.928   75  995.263    0
    2.058  140.000  200 9999  273.150   75 1000.342    0
    4.116  210.000   35   10  275.928   65  989.845    0
    7.717  150.000   70   10  274.817   79  987.474    0
    3.600  130.000  999    4  275.950   70 1002.000    0
1990  11  12    0   1990  11  13    0
    1.543  330.000  999    3  271.483   75  994.924    0
    3.087  150.000  200 9999  273.150   75  999.327    0
    4.116  180.000   35   10  275.928   70  988.829    0
    7.717  140.000   30   10  274.261   82  985.442   19
    3.600  120.000   37    9  275.350   70 1000.000    0
1990  11  13    0   1990  11  14    0
    0.000    0.000  250    6  271.483   75  994.586    0
    3.087  150.000   30 9999  272.594   75  998.311    0
    3.087  150.000   28   10  275.928   73  987.474   19
    6.688  150.000   30   10  274.817   76  983.072   19
    3.600   90.000   35   10  274.850   76  999.000    0
1990  11  14    0   1990  11  15    0
    0.000    0.000  120    7  271.483   69  994.586    0
    3.087  120.000   30 9999  272.039   75  997.633    0
    5.144  180.000   25   10  274.817   82  986.797   19
    6.173  140.000   11   10  274.261   85  981.717   19
    4.600  170.000   33   10  275.950   73  998.000    0
1990  11  15    0   1990  11  16    0
    2.572  120.000  100   10  271.483   72  993.570    0
    2.572  130.000   30 9999  272.039   75  996.956    0
    3.601  160.000    7   10  273.706   92  985.781   19
    5.144  150.000    7   10  273.706   89  980.363   19
    6.200  170.000   35   10  275.350   82  997.000    0
1990  11  16    0   1990  11  17    0
    3.601  140.000   30   10  271.483   75  993.231    0
    1.543  130.000   14 9999  272.039   75  995.940   19
    3.087  150.000    8   10  273.706   96  984.765    0
   10.289  180.000    7   10  274.817   76  980.363   19
    6.700  190.000   16   10  274.850   79  997.000   19
1990  11  17    0   1990  11  18    0
    2.572  140.000   20   10  271.483   75  992.892   19
    5.144  190.000    4 9999  272.594   89  995.602   19
    4.630  170.000    8   10  273.706   96  983.749    0
    9.260  170.000    7   10  274.261   79  980.363    1
    5.200  180.000   16   10  274.850   89  996.000    0
1990  11  18    0   1990  11  19    0
    6.688  130.000   15   10  270.372   92  992.554   19
    4.116  170.000    8 9999  274.817   76  994.586    0
    3.601  180.000    8   10  274.261   92  983.749    0
    8.231  160.000   60   10  274.261   85  980.363   19
    5.200  180.000   13   10  275.350   82  995.000    0
1990  11  19    0   1990  11  20    0
    7.717  100.000   10   10  269.817   96  991.538   19
    4.630  180.000   14 9999  274.817   79  993.570    0
    4.116  140.000    8   10  274.261   89  982.733   19
    8.231  160.000   60   10  274.261   85  979.685   19
    6.700  180.000   95   10  275.950   79  995.000    0
1990  11  20    0   1990  11  21    0
    8.231  110.000   11   10  270.372   92  990.861   19
    5.144  190.000   16 9999  275.372   73  992.215    0
    3.087  170.000    8   10  273.706   96  982.056   19
