"Xkm" "Ykm" "Elev"
 339.500000 4868.50000 154.000000
 340.500000 4868.50000 154.000000
 341.500000 4868.50000 154.000000
 342.500000 4868.50000 154.000000
 343.500000 4868.50000 163.399994
 344.500000 4868.50000 159.699997
 345.500000 4868.50000 162.699997
 346.500000 4868.50000 197.000000
 347.500000 4868.50000 226.399994
 348.500000 4868.50000 197.100006
 349.500000 4868.50000 181.300003
 350.500000 4868.50000 172.699997
 351.500000 4868.50000 162.000000
 352.500000 4868.50000 162.000000
 353.500000 4868.50000 162.100006
 354.500000 4868.50000 162.000000
 355.500000 4868.50000 165.500000
 356.500000 4868.50000 200.100006
 357.500000 4868.50000 253.300003
 338.500000 4869.50000 154.000000
 339.500000 4869.50000 154.000000
 340.500000 4869.50000 154.000000
 341.500000 4869.50000 154.000000
 342.500000 4869.50000 154.300003
 343.500000 4869.50000 177.500000
 344.500000 4869.50000 167.699997
 345.500000 4869.50000 160.000000
 346.500000 4869.50000 194.300003
 347.500000 4869.50000 227.600006
 348.500000 4869.50000 203.399994
 349.500000 4869.50000 191.000000
 350.500000 4869.50000 184.600006
 351.500000 4869.50000 174.199997
 352.500000 4869.50000 163.100006
 353.500000 4869.50000 162.000000
 354.500000 4869.50000 162.000000
 355.500000 4869.50000 171.500000
 356.500000 4869.50000 183.199997
 357.500000 4869.50000 205.100006
 338.500000 4870.50000 154.000000
 339.500000 4870.50000 154.000000
 340.500000 4870.50000 154.000000
 341.500000 4870.50000 154.100006
 342.500000 4870.50000 154.199997
 343.500000 4870.50000 165.699997
 344.500000 4870.50000 156.399994
 345.500000 4870.50000 155.699997
 346.500000 4870.50000 179.699997
 347.500000 4870.50000 201.100006
 348.500000 4870.50000 244.800003
 349.500000 4870.50000 232.399994
 350.500000 4870.50000 226.899994
 351.500000 4870.50000 221.699997
 352.500000 4870.50000 179.800003
 353.500000 4870.50000 172.699997
 354.500000 4870.50000 171.100006
 355.500000 4870.50000 180.300003
 356.500000 4870.50000 204.600006
 357.500000 4870.50000 249.500000
 338.500000 4871.50000 154.000000
 339.500000 4871.50000 154.000000
 340.500000 4871.50000 154.600006
 341.500000 4871.50000 157.699997
 342.500000 4871.50000 156.399994
 343.500000 4871.50000 177.000000
 344.500000 4871.50000 157.800003
 345.500000 4871.50000 156.899994
 346.500000 4871.50000 179.699997
 347.500000 4871.50000 199.199997
 348.500000 4871.50000 219.899994
 349.500000 4871.50000 238.000000
 350.500000 4871.50000 241.500000
 351.500000 4871.50000 233.000000
 352.500000 4871.50000 191.000000
 353.500000 4871.50000 186.399994
 354.500000 4871.50000 186.600006
 355.500000 4871.50000 201.000000
 356.500000 4871.50000 250.500000
 357.500000 4871.50000 275.899994
 338.500000 4872.50000 154.399994
 339.500000 4872.50000 154.199997
 340.500000 4872.50000 154.300003
 341.500000 4872.50000 157.699997
 342.500000 4872.50000 159.600006
 343.500000 4872.50000 181.699997
 344.500000 4872.50000 171.800003
 345.500000 4872.50000 166.800003
 346.500000 4872.50000 176.600006
 347.500000 4872.50000 192.399994
 348.500000 4872.50000 221.399994
 349.500000 4872.50000 245.399994
 350.500000 4872.50000 264.200012
 351.500000 4872.50000 241.000000
 352.500000 4872.50000 215.399994
 353.500000 4872.50000 213.899994
 354.500000 4872.50000 219.000000
 355.500000 4872.50000 243.699997
 356.500000 4872.50000 273.299988
 357.500000 4872.50000 286.500000
 338.500000 4873.50000 156.100006
 339.500000 4873.50000 154.600006
 340.500000 4873.50000 157.100006
 341.500000 4873.50000 154.000000
 342.500000 4873.50000 156.399994
 343.500000 4873.50000 164.300003
 344.500000 4873.50000 174.000000
 345.500000 4873.50000 179.300003
 346.500000 4873.50000 181.699997
 347.500000 4873.50000 214.500000
 348.500000 4873.50000 276.500000
 349.500000 4873.50000 286.899994
 350.500000 4873.50000 323.000000
 351.500000 4873.50000 300.600006
 352.500000 4873.50000 248.000000
 353.500000 4873.50000 219.899994
 354.500000 4873.50000 239.100006
 355.500000 4873.50000 265.799988
 356.500000 4873.50000 308.000000
 357.500000 4873.50000 329.000000
 338.500000 4874.50000 172.399994
 339.500000 4874.50000 166.600006
 340.500000 4874.50000 154.000000
 341.500000 4874.50000 154.000000
 342.500000 4874.50000 154.000000
 343.500000 4874.50000 154.600006
 344.500000 4874.50000 165.399994
 345.500000 4874.50000 179.899994
 346.500000 4874.50000 196.500000
 347.500000 4874.50000 232.899994
 348.500000 4874.50000 265.700012
 349.500000 4874.50000 320.100006
 350.500000 4874.50000 315.399994
 351.500000 4874.50000 371.399994
 352.500000 4874.50000 269.899994
 353.500000 4874.50000 236.100006
 354.500000 4874.50000 286.500000
 355.500000 4874.50000 289.799988
 356.500000 4874.50000 306.799988
 357.500000 4874.50000 306.100006
 338.500000 4875.50000 166.899994
 339.500000 4875.50000 155.300003
 340.500000 4875.50000 154.699997
 341.500000 4875.50000 154.199997
 342.500000 4875.50000 154.000000
 343.500000 4875.50000 158.699997
 344.500000 4875.50000 173.500000
 345.500000 4875.50000 180.100006
 346.500000 4875.50000 204.500000
 347.500000 4875.50000 241.600006
